machine_type_id,machine_name,description,efficency,rent,price,owner_contact_id,maintenance_contact_id
1,lafu-27130,Configurable,32,50,7,103,108
2,covr-40291,info-mediaries,23,36,8,102,108
3,htsq-30346,homogeneous,55,47,10,101,108
4,hjng-08008,secondary,51,35,6,101,109
5,ksvy-68268,bandwidth-monitored,32,30,3,106,110
6,nudp-66292,intranet,99,37,1,103,108
7,ksxs-95576,hierarchy,84,46,2,105,110
8,glxu-24418,monitoring,90,36,10,105,108
9,xifq-73650,5th generation,79,29,9,105,110
10,broa-45307,knowledge user,75,41,7,105,108
11,uqhn-75410,asymmetric,58,40,5,102,107
12,iuzc-69995,encompassing,18,39,9,101,108
13,iczs-07690,modular,67,39,1,101,107
14,iygz-95425,Down-sized,67,42,9,103,109
15,dccd-06984,foreground,37,26,4,105,110
16,sfic-67955,time-frame,42,35,1,102,108
17,ojyp-80234,instruction set,69,32,6,105,108
18,munc-80825,attitude,38,37,3,102,108
19,oyii-99778,Focused,64,26,10,106,108
20,ksru-10013,cohesive,19,49,4,103,109
21,tppi-67027,Reduced,49,38,7,104,110
22,oeqq-87933,Phased,87,40,7,106,110
23,ntrp-24822,workforce,41,38,6,103,108
24,roal-68013,protocol,80,34,4,106,110
25,dujv-26204,local area network,42,25,2,103,108
